gene,miRNA,interaction
SLC22A18AS,hsa-miR-6499-3p,1
ABCF1,hsa-miR-6499-3p,1
EZH2,hsa-miR-885-5p,0
FAU,hsa-miR-885-5p,0
DMRTC2,hsa-miR-885-5p,1
PLEKHO2,hsa-miR-885-5p,1
EZH2,hsa-miR-5589-5p,0
GPR85,hsa-miR-5589-5p,1
GNG3,hsa-miR-5589-5p,1
C10ORF84,hsa-miR-5589-5p,1
EZH2,hsa-miR-340-5p,0
MITF,hsa-miR-340-5p,1
CHTF18,hsa-miR-340-5p,0
VIPR2,hsa-miR-340-5p,0
SGK493,hsa-miR-340-5p,1
EZH2,hsa-miR-8088,0
SLFN12L,hsa-miR-8088,0
RABGGTB,hsa-miR-8088,1
GNAI3,hsa-miR-8088,1
FBN2,hsa-miR-658,0
ZMAT1,hsa-miR-658,0
HINFP,hsa-miR-658,1
FBN2,hsa-miR-183-5p,0
EGR1,hsa-miR-183-5p,1
IL17RB,hsa-miR-183-5p,1
KIF2A,hsa-miR-183-5p,1
UVRAG,hsa-miR-183-5p,1
PPP2CB,hsa-miR-183-5p,1
KCND2,hsa-miR-183-5p,1
FBN2,hsa-miR-1914-3p,0
FBN2,hsa-miR-676-5p,0
SAFB2,hsa-miR-676-5p,0
PRF1,hsa-miR-676-5p,1
FBN2,hsa-miR-29b-1-5p,0
PIAS1,hsa-miR-29b-1-5p,0
STAT3,hsa-miR-29b-1-5p,1
RABIF,hsa-miR-29b-1-5p,0
CTXN3,hsa-miR-29b-1-5p,1
FBN2,hsa-miR-3714,0
SOX4,hsa-miR-3714,1
EMP3,hsa-miR-3714,1
FGA,hsa-miR-144-3p,0
FGB,hsa-miR-144-3p,0
ZFX,hsa-miR-144-3p,0
HS3ST3A1,hsa-miR-144-3p,0
LMNB1,hsa-miR-144-3p,0
FBXO11,hsa-miR-144-3p,0
NDUFB7,hsa-miR-144-3p,0
LYRM2,hsa-miR-144-3p,1
PBX3,hsa-miR-144-3p,1
PGK1,hsa-miR-144-3p,1
FGA,hsa-miR-409-3p,0
ZEB1,hsa-miR-409-3p,1
NLK,hsa-miR-409-3p,1
PHF10,hsa-miR-409-3p,1
CDC2L1,hsa-miR-409-3p,0
IPO13,hsa-miR-409-3p,1
SERTAD1,hsa-miR-409-3p,1
PABPN1,hsa-miR-409-3p,1
FGA,hsa-miR-3133,0
ETV6,hsa-miR-3133,1
FGA,hsa-miR-520d-3p,0
CWF19L1,hsa-miR-520d-3p,0
ZNF740,hsa-miR-520d-3p,1
FOS,hsa-miR-181b-5p,1
MAPK14,hsa-miR-181b-5p,0
CBX7,hsa-miR-181b-5p,1
GRIA2,hsa-miR-181b-5p,1
NLK,hsa-miR-181b-5p,1
TIMP3,hsa-miR-181b-5p,1
ADCY9,hsa-miR-181b-5p,1
SPP1,hsa-miR-181b-5p,1
TCL1A,hsa-miR-181b-5p,1
OCLN,hsa-miR-181b-5p,1
SGSM2,hsa-miR-181b-5p,1
FOXA1,hsa-miR-920,0
ARMC6,hsa-miR-920,1
APOC1,hsa-miR-920,1
FOXA1,hsa-miR-2052,0
RGS3,hsa-miR-2052,0
KCNJ3,hsa-miR-2052,0
APPL2,hsa-miR-2052,0
C4ORF43,hsa-miR-2052,0
PRDX1,hsa-miR-2052,0
POMZP3,hsa-miR-2052,0
CPT2,hsa-miR-2052,0
C1QL1,hsa-miR-2052,1
FSCN1,hsa-miR-429,1
ZEB1,hsa-miR-429,0
DLC1,hsa-miR-429,1
IL4,hsa-miR-429,1
SRP68,hsa-miR-429,0
ABCB10,hsa-miR-429,0
SAG,hsa-miR-429,1
FSCN1,hsa-miR-1184,0
GZMH,hsa-miR-1184,0
PMS2,hsa-miR-1184,1
PLSCR4,hsa-miR-1184,1
FSCN1,hsa-miR-7855-5p,0
KIAA1045,hsa-miR-7855-5p,1
LTA4H,hsa-miR-7855-5p,1
FSCN1,hsa-miR-124-5p,0
NSUN6,hsa-miR-124-5p,1
FAM5B,hsa-miR-124-5p,1
FSCN1,hsa-miR-561-3p,0
ITIH5,hsa-miR-561-3p,0
RGS3,hsa-miR-561-3p,0
UNC50,hsa-miR-561-3p,1
FSCN1,hsa-miR-96-5p,0
IL10,hsa-miR-96-5p,0
PTPN9,hsa-miR-96-5p,1
ARL8B,hsa-miR-96-5p,0
SEMA6C,hsa-miR-96-5p,0
EHD2,hsa-miR-96-5p,0
SPINK5L3,hsa-miR-96-5p,1
LARGE,hsa-miR-96-5p,1
FSCN1,hsa-miR-143-5p,1
LOC440563,hsa-miR-143-5p,0
NR1D1,hsa-miR-143-5p,1
TRH,hsa-miR-143-5p,1
GABARAPL1,hsa-miR-3150b-3p,0
DGKG,hsa-miR-3150b-3p,0
KL,hsa-miR-3150b-3p,0
PISD,hsa-miR-3150b-3p,0
IGFBP3,hsa-miR-3150b-3p,0
SLC16A10,hsa-miR-3150b-3p,0
KDM6B,hsa-miR-3150b-3p,0
MPV17L2,hsa-miR-3150b-3p,1
FAM135B,hsa-miR-3150b-3p,0
DNASE2,hsa-miR-3150b-3p,1
ABHD6,hsa-miR-3150b-3p,0
GM2A,hsa-miR-3150b-3p,0
GABARAPL1,hsa-miR-329-3p,0
KIAA1267,hsa-miR-329-3p,0
SERPINA3,hsa-miR-329-3p,0
OR2L13,hsa-miR-329-3p,0
MCAM,hsa-miR-329-3p,1
GABARAPL1,hsa-miR-548al,1
ASB15,hsa-miR-548al,0
PI3,hsa-miR-548al,1
GRN,hsa-miR-875-3p,0
BOK,hsa-miR-875-3p,0
FAM78A,hsa-miR-875-3p,0
GRN,hsa-miR-361-5p,0
DSG4,hsa-miR-361-5p,0
GRN,hsa-miR-4680-5p,0
TFPI2,hsa-miR-4680-5p,0
RAPGEF1,hsa-miR-4680-5p,0
CRYBB1,hsa-miR-4680-5p,0
GRN,hsa-miR-365a-5p,0
DPRX,hsa-miR-365a-5p,0
RPL27,hsa-miR-365a-5p,0
RIC3,hsa-miR-365a-5p,1
GRN,hsa-miR-1843,0
MYOCD,hsa-miR-1843,0
SLC45A3,hsa-miR-1843,0
CCDC112,hsa-miR-1843,1
GRN,hsa-miR-323a-5p,0
TDRD6,hsa-miR-323a-5p,0
C15ORF33,hsa-miR-323a-5p,0
ZNF546,hsa-miR-323a-5p,1
GRN,hsa-miR-6746-5p,0
PLGLB1,hsa-miR-6746-5p,0
C20ORF197,hsa-miR-6746-5p,1
GRN,hsa-miR-3179,0
CYP4A11,hsa-miR-3179,0
ZMAT1,hsa-miR-3179,0
ITFG3,hsa-miR-3179,0
GRN,hsa-miR-5003-5p,0
KLF13,hsa-miR-5003-5p,0
PTX3,hsa-miR-5003-5p,0
TMEM128,hsa-miR-5003-5p,1
HAL,hsa-miR-499b-5p,0
RABEPK,hsa-miR-499b-5p,0
PRDM16,hsa-miR-499b-5p,0
IL1RL1,hsa-miR-499b-5p,0
HERC4,hsa-miR-3689a-3p,0
C18ORF24,hsa-miR-3689a-3p,0
PATZ1,hsa-miR-3689a-3p,0
SRP14,hsa-miR-3689a-3p,0
SLC35A1,hsa-miR-3689a-3p,0
RFWD3,hsa-miR-3689a-3p,0
GARNL1,hsa-miR-3689a-3p,0
C1ORF58,hsa-miR-3689a-3p,0
IMMP2L,hsa-miR-3689a-3p,0
RABL3,hsa-miR-3689a-3p,0
SLC38A4,hsa-miR-3689a-3p,0
DGAT2,hsa-miR-3689a-3p,0
FBXO22,hsa-miR-3689a-3p,0
NBPF16,hsa-miR-3689a-3p,0
CCNB1,hsa-miR-3689a-3p,0
GYS2,hsa-miR-3689a-3p,1
CXCL13,hsa-miR-3689a-3p,1
ASZ1,hsa-miR-3689a-3p,1
HIP1R,hsa-miR-27b-3p,0
EGFR,hsa-miR-27b-3p,1
HMGB3,hsa-miR-27b-3p,1
NOTCH1,hsa-miR-27b-3p,1
PAX3,hsa-miR-27b-3p,1
LACTB2,hsa-miR-27b-3p,0
CCNG1,hsa-miR-27b-3p,1
SLC8A2,hsa-miR-27b-3p,1
CYP1B1,hsa-miR-27b-3p,1
CCDC24,hsa-miR-27b-3p,1
PINK1,hsa-miR-27b-3p,1
HIP1R,hsa-miR-3942-5p,0
KCNV2,hsa-miR-3942-5p,0
SLC6A1,hsa-miR-3942-5p,1
AZU1,hsa-miR-3942-5p,1
HIP1R,hsa-miR-194-5p,0
RAC1,hsa-miR-194-5p,1
FOXM1,hsa-miR-194-5p,1
KDM5B,hsa-miR-194-5p,1
BMP1,hsa-miR-194-5p,1
HNF4G,hsa-miR-194-5p,1
HIP1R,hsa-miR-6884-5p,0
ARR3,hsa-miR-6884-5p,0
ARFGAP1,hsa-miR-6884-5p,0
RP13-388O5.1,hsa-miR-6884-5p,0
UBE2K,hsa-miR-6884-5p,1
HIP1R,hsa-miR-10392-3p,0
U2AF1,hsa-miR-10392-3p,1
HIP1R,hsa-miR-4273,0
ARHGAP1,hsa-miR-4273,0
SBSN,hsa-miR-4273,0
PNPLA7,hsa-miR-4273,0
FAM22F,hsa-miR-4273,0
CLPTM1L,hsa-miR-4273,1
CDAN1,hsa-miR-4273,1
HIP1R,hsa-miR-378g,0
LASS4,hsa-miR-378g,0
FADS3,hsa-miR-378g,1
LARP7,hsa-miR-378g,1
HIP1R,hsa-miR-520e-3p,0
LOC100130522,hsa-miR-520e-3p,1
LAPTM4A,hsa-miR-520e-3p,1
RBMX,hsa-miR-520e-3p,1
ZBED4,hsa-miR-520e-3p,1
HIP1R,hsa-miR-3135a,0
SLC35E3,hsa-miR-3135a,1
H1FOO,hsa-miR-3135a,1
FOXF2,hsa-miR-3135a,1
FAM164A,hsa-miR-3135a,1
HMGXB4,hsa-miR-3675-5p,0
GRRP1,hsa-miR-3675-5p,1
UTRN,hsa-miR-3675-5p,1
HMGXB4,hsa-miR-548av-5p,0
IK,hsa-miR-548av-5p,0
CFLAR,hsa-miR-548av-5p,1
IGF2AS,hsa-miR-548av-5p,1
TFCP2,hsa-miR-548av-5p,1
SEMA4B,hsa-miR-548av-5p,1
CYP4F22,hsa-miR-548av-5p,1
HMGXB4,hsa-miR-96-3p,0
SRRM2,hsa-miR-96-3p,0
HMGXB4,hsa-miR-6833-3p,0
ACAP1,hsa-miR-6833-3p,0
S100A9,hsa-miR-6833-3p,0
EXD3,hsa-miR-6833-3p,1
HMGXB4,hsa-miR-3074-3p,0
NCOA3,hsa-miR-3074-3p,0
SPG21,hsa-miR-3074-3p,0
CDK9,hsa-miR-3074-3p,1
SLC25A42,hsa-miR-3074-3p,1
HMGXB4,hsa-miR-518d-3p,0
BIRC6,hsa-miR-518d-3p,0
ZNF497,hsa-miR-518d-3p,0
GADL1,hsa-miR-518d-3p,0
GPATCH8,hsa-miR-518d-3p,1
TBX3,hsa-miR-518d-3p,1
VPS37A,hsa-miR-518d-3p,1
NLRC4,hsa-miR-518d-3p,1
HNF4A,hsa-miR-766-3p,0
DGKH,hsa-miR-766-3p,0
C18ORF56,hsa-miR-766-3p,1
HNF4A,hsa-miR-449a,1
HDAC8,hsa-miR-449a,0
LEF1,hsa-miR-449a,1
RRAS,hsa-miR-449a,1
SP8,hsa-miR-449a,0
GNE,hsa-miR-449a,1
ZNF589,hsa-miR-449a,1
WBSCR16,hsa-miR-449a,1
GLT1D1,hsa-miR-449a,1
OAZ1,hsa-miR-449a,1
HOXC13,hsa-miR-553,0
JAZF1,hsa-miR-553,0
SH2D4B,hsa-miR-553,0
HOXC13,hsa-miR-4753-5p,0
CSTL1,hsa-miR-4753-5p,1
EIF2B3,hsa-miR-4753-5p,1
ZNF714,hsa-miR-4753-5p,1
ADSS,hsa-miR-4753-5p,1
SCT,hsa-miR-4753-5p,1
HOXC13,hsa-miR-6852-5p,0
ZNF382,hsa-miR-6852-5p,0
GPR124,hsa-miR-6852-5p,0
PGGT1B,hsa-miR-6852-5p,0
ATP6V0A2,hsa-miR-6852-5p,0
SLC14A1,hsa-miR-6852-5p,0
SNAPC3,hsa-miR-6852-5p,0
CDK9,hsa-miR-6852-5p,0
LRRC47,hsa-miR-6852-5p,0
PCOLCE,hsa-miR-6852-5p,0
RHBDL1,hsa-miR-6852-5p,1
FYCO1,hsa-miR-6852-5p,1
DYNLRB1,hsa-miR-6852-5p,1
HOXC13,hsa-miR-12126,0
GLRX,hsa-miR-12126,1
PIP5K1C,hsa-miR-12126,0
ADI1,hsa-miR-12126,1
HOXC13,hsa-miR-6788-5p,0
HOXC13,hsa-miR-6830-5p,0
TGFBR2,hsa-miR-6830-5p,0
PYGL,hsa-miR-6830-5p,0
KIAA1804,hsa-miR-6830-5p,1
HOXC13,hsa-miR-412-5p,0
APAF1,hsa-miR-412-5p,0
ZNF556,hsa-miR-412-5p,0
HOXC13,hsa-miR-624-5p,0
EHD2,hsa-miR-624-5p,0
NDE1,hsa-miR-624-5p,0
ANKRD34B,hsa-miR-624-5p,1
UNC45A,hsa-miR-624-5p,1
HOXC13,hsa-miR-758-3p,0
ZNF254,hsa-miR-758-3p,0
ZNF670,hsa-miR-758-3p,0
HOXC13,hsa-miR-10524-5p,0
SLC12A3,hsa-miR-10524-5p,0
TSEN2,hsa-miR-10524-5p,0
CD247,hsa-miR-10524-5p,0
C1ORF106,hsa-miR-10524-5p,0
LYPD1,hsa-miR-10524-5p,0
SNAPC3,hsa-miR-10524-5p,0
C5ORF44,hsa-miR-10524-5p,1
TSNAXIP1,hsa-miR-10524-5p,1
HOXC13,hsa-miR-4527,0
ZNF683,hsa-miR-4527,0
STAG1,hsa-miR-4527,1
SCUBE3,hsa-miR-4527,1
HOXC13,hsa-miR-4719,0
EPB41L4B,hsa-miR-4719,0
LGR5,hsa-miR-4719,0
REEP5,hsa-miR-4719,0
ICAM1,hsa-miR-1256,0
SELE,hsa-miR-1256,0
CPNE3,hsa-miR-1256,1
MOBKL2A,hsa-miR-1256,0
MPHOSPH9,hsa-miR-1256,1
TRIM68,hsa-miR-1256,1
ICAM1,hsa-miR-296-3p,1
LCE1E,hsa-miR-296-3p,1
TNNI1,hsa-miR-296-3p,1
ICAM1,hsa-miR-588,0
MAP3K9,hsa-miR-588,0
PKD1L1,hsa-miR-588,0
CHODL,hsa-miR-588,1
ICAM1,hsa-miR-3913-3p,0
L2HGDH,hsa-miR-3913-3p,1
ICAM1,hsa-miR-518d-5p,0
SSH1,hsa-miR-518d-5p,1
ICAM1,hsa-miR-3128,0
MLEC,hsa-miR-3128,0
CYP2S1,hsa-miR-3128,1
DYSF,hsa-miR-3128,0
ICAM1,hsa-miR-301a-5p,0
CBLN4,hsa-miR-301a-5p,0
DEDD,hsa-miR-301a-5p,1
GUCA1B,hsa-miR-301a-5p,1
CNTNAP4,hsa-miR-301a-5p,1
PYGO2,hsa-miR-301a-5p,1
ICAM1,hsa-miR-2113,0
TMEM40,hsa-miR-2113,1
MIER3,hsa-miR-2113,1
ICAM1,hsa-miR-6802-5p,0
ZNF326,hsa-miR-6802-5p,1
ICAM1,hsa-miR-1224-5p,0
CHEK1,hsa-miR-1224-5p,1
GNB1,hsa-miR-1224-5p,1
SERPINF1,hsa-miR-1224-5p,1
UNKL,hsa-miR-1224-5p,1
IL10,hsa-miR-575,0
C2ORF66,hsa-miR-575,1
LRRC25,hsa-miR-575,1
IL10,hsa-miR-503-3p,0
NACC1,hsa-miR-503-3p,1
DYNC2H1,hsa-miR-503-3p,1
IL10,hsa-miR-4447,0
PI16,hsa-miR-4447,1
PROKR2,hsa-miR-4447,1
IL10,hsa-miR-485-3p,0
SLC22A12,hsa-miR-485-3p,1
FAM84A,hsa-miR-485-3p,1
KIAA1751,hsa-miR-485-3p,1
USP3,hsa-miR-485-3p,1
IL10,hsa-miR-4774-5p,0
ZMAT1,hsa-miR-4774-5p,0
C12ORF56,hsa-miR-4774-5p,0
FBXO34,hsa-miR-4774-5p,0
FAM185A,hsa-miR-4774-5p,0
IL10,hsa-miR-4433a-5p,0
CCDC59,hsa-miR-4433a-5p,1
KLHL22,hsa-miR-4433a-5p,1
IL10,hsa-miR-4694-3p,0
SESN2,hsa-miR-4694-3p,1
IFI30,hsa-miR-4694-3p,1
IL10,hsa-miR-1266-3p,0
PEX10,hsa-miR-1266-3p,1
IL10,hsa-miR-6081,0
POLR2I,hsa-miR-6081,0
AFMID,hsa-miR-6081,1
PHRF1,hsa-miR-6081,1
IL10,hsa-miR-375-3p,0
AASS,hsa-miR-375-3p,0
EXOG,hsa-miR-375-3p,1
IL18,hsa-miR-346,0
BTK,hsa-miR-346,1
GOLPH3L,hsa-miR-346,0
C16ORF42,hsa-miR-346,0
SP5,hsa-miR-346,0
IL18,hsa-miR-6742-5p,0
CCR1,hsa-miR-6742-5p,0
C19ORF51,hsa-miR-6742-5p,0
RIN1,hsa-miR-6742-5p,1
IL18,hsa-miR-892c-3p,0
CAPRIN2,hsa-miR-892c-3p,1
IL18,hsa-miR-6513-5p,0
ASH1L,hsa-miR-6513-5p,0
EHD2,hsa-miR-6513-5p,0
ZNF85,hsa-miR-6513-5p,1
PTDSS2,hsa-miR-6513-5p,1
EPSTI1,hsa-miR-6513-5p,1
IL18,hsa-miR-1272,0
NR1I2,hsa-miR-1272,0
HARS,hsa-miR-1272,0
SLC4A3,hsa-miR-1272,0
CTNND1,hsa-miR-1272,1
CABP4,hsa-miR-1272,0
GSTA2,hsa-miR-1272,0
COQ6,hsa-miR-1272,0
CCM2,hsa-miR-1272,1
IL18,hsa-miR-1264,0
LIMK1,hsa-miR-1264,0
FLT1,hsa-miR-1264,1
FAM22A,hsa-miR-1264,0
ZNF266,hsa-miR-1264,0
C4ORF26,hsa-miR-1264,1
IL18,hsa-miR-1537-5p,0
HHIPL1,hsa-miR-1537-5p,0
IL18,hsa-miR-626,0
SLC7A5,hsa-miR-626,0
LOC100130311,hsa-miR-626,0
AKD2,hsa-miR-626,0
TUFT1,hsa-miR-626,0
MMP25,hsa-miR-626,0
ABCB9,hsa-miR-626,1
SIM2,hsa-miR-626,1
TRIAP1,hsa-miR-626,1
IPO5,hsa-miR-626,1
UGT3A2,hsa-miR-626,1
IL18,hsa-miR-3912-5p,0
IGDCC4,hsa-miR-3912-5p,0
SDK1,hsa-miR-3912-5p,0
MAP3K3,hsa-miR-3912-5p,0
SLC35E4,hsa-miR-3912-5p,0
LAMB1,hsa-miR-3912-5p,0
IL18,hsa-miR-1299,0
NT5DC3,hsa-miR-1299,1
IL18,hsa-miR-12121,0
FAM148A,hsa-miR-12121,1
IL18,hsa-miR-4535,0
IL18,hsa-miR-6846-3p,0
LIMK1,hsa-miR-6846-3p,0
GSTP1,hsa-miR-6846-3p,1
RARS2,hsa-miR-6846-3p,1
GABRP,hsa-miR-6846-3p,1
TMTC3,hsa-miR-6846-3p,1
IL18,hsa-miR-3666,0
TOM1,hsa-miR-3666,0
N-PAC,hsa-miR-3666,0
WWC1,hsa-miR-3666,0
MPV17L2,hsa-miR-3666,0
PLEKHM2,hsa-miR-3666,1
CBX4,hsa-miR-3666,1
PPP3R1,hsa-miR-3666,1
ISL1,hsa-miR-3666,1
IMPDH1,hsa-miR-3177-5p,0
DSG3,hsa-miR-3177-5p,1
CAMK2G,hsa-miR-3177-5p,1
IMPDH1,hsa-miR-3973,0
CCDC57,hsa-miR-3973,0
IMPDH1,hsa-miR-4645-3p,0
ARFIP2,hsa-miR-4645-3p,0
ROBLD3,hsa-miR-4645-3p,1
TRNP1,hsa-miR-4645-3p,1
IMPDH1,hsa-miR-3142,0
NCOA2,hsa-miR-3142,0
ZNF799,hsa-miR-3142,0
SCIN,hsa-miR-3142,1
IMPDH1,hsa-miR-5186,0
ARHGEF18,hsa-miR-5186,1
TTLL13,hsa-miR-5186,1
ITIH5,hsa-miR-4634,0
GTPBP8,hsa-miR-4634,0
GSTM3,hsa-miR-4634,1
ADAMTSL1,hsa-miR-4634,0
ITIH5,hsa-miR-3944-5p,0
PDIA3,hsa-miR-3944-5p,1
CCDC140,hsa-miR-3944-5p,1
ITIH5,hsa-miR-4690-5p,0
TLE2,hsa-miR-4690-5p,1
BRD1,hsa-miR-4690-5p,1
HTR1E,hsa-miR-4690-5p,1
ITIH5,hsa-miR-615-3p,0
MTA2,hsa-miR-615-3p,0
ACYP2,hsa-miR-615-3p,1
ATRN,hsa-miR-615-3p,0
COX5B,hsa-miR-615-3p,0
TLR5,hsa-miR-615-3p,0
KRT85,hsa-miR-615-3p,1
CDH11,hsa-miR-615-3p,1
ITIH5,hsa-miR-619-5p,0
NRP2,hsa-miR-619-5p,0
ABCA1,hsa-miR-619-5p,1
ITIH5,hsa-miR-4520-2-3p,0
MAPK9,hsa-miR-4520-2-3p,0
MYOCD,hsa-miR-4520-2-3p,0
ARHGAP30,hsa-miR-4520-2-3p,0
GNPDA2,hsa-miR-4520-2-3p,0
ITIH5,hsa-miR-7108-5p,0
ZNF382,hsa-miR-7108-5p,0
ITIH5,hsa-miR-4756-5p,0
LOC100130311,hsa-miR-4756-5p,0
SEMA6A,hsa-miR-4756-5p,1
ITIH5,hsa-miR-3650,0
ITIH5,hsa-miR-521,0
RGS3,hsa-miR-521,0
SPON2,hsa-miR-521,1
CAV3,hsa-miR-521,1
ITPR1,hsa-miR-3613-3p,0
JAG1,hsa-miR-3613-3p,0
NRP2,hsa-miR-3613-3p,0
PYGL,hsa-miR-3613-3p,0
ITPR1,hsa-miR-3612,0
ARL5A,hsa-miR-3612,1
FLJ37078,hsa-miR-3612,0
JAG1,hsa-miR-6768-5p,0
SAFB2,hsa-miR-6768-5p,0
JAG1,hsa-miR-3122,0
SIGMAR1,hsa-miR-3122,0
CACNG2,hsa-miR-3122,1
TMEM39A,hsa-miR-3122,1
OPCML,hsa-miR-3122,1
JAG1,hsa-miR-548ap-5p,0
MFRP,hsa-miR-548ap-5p,0
RASGEF1C,hsa-miR-548ap-5p,0
JAG1,hsa-miR-302b-5p,0
CTDSP2,hsa-miR-302b-5p,0
COMP,hsa-miR-302b-5p,0
AKD2,hsa-miR-302b-5p,0
NECAB3,hsa-miR-302b-5p,0
JAG1,hsa-miR-4707-3p,0
TOM1,hsa-miR-4707-3p,0
STRN,hsa-miR-4707-3p,0
NTSR1,hsa-miR-4707-3p,1
JAG1,hsa-miR-3192-5p,0
ZNF497,hsa-miR-3192-5p,0
JAGN1,hsa-miR-3192-5p,0
SLC7A9,hsa-miR-3192-5p,1
CDCA8,hsa-miR-3192-5p,1
JAG1,hsa-miR-12114,0
FAM82B,hsa-miR-12114,1
CCDC104,hsa-miR-12114,1
JAG1,hsa-miR-4696,0
ARHGEF6,hsa-miR-4696,0
HIC1,hsa-miR-4696,0
PSMB10,hsa-miR-4696,0
NOV,hsa-miR-4696,0
NDEL1,hsa-miR-4696,0
DCK,hsa-miR-4696,0
SLC38A11,hsa-miR-4696,1
JAG1,hsa-miR-1307-5p,0
PARP1,hsa-miR-1307-5p,1
SLC9A5,hsa-miR-1307-5p,1
SLC22A20,hsa-miR-1307-5p,1
JAG1,hsa-miR-520e-5p,0
TAC1,hsa-miR-520e-5p,0
KCNJ10,hsa-miR-520e-5p,0
JAG1,hsa-miR-620,0
LRIG1,hsa-miR-620,0
REL,hsa-miR-620,1
JAG2,hsa-miR-620,0
CREM,hsa-miR-620,0
ABCC1,hsa-miR-620,0
RBM26,hsa-miR-620,1
JAZF1,hsa-miR-6068,0
SIVA1,hsa-miR-6068,1
FAM135A,hsa-miR-6068,1
JAZF1,hsa-miR-12133,0
HAT1,hsa-miR-12133,1
JAZF1,hsa-miR-593-5p,0
MAPK14,hsa-miR-593-5p,0
BATF3,hsa-miR-593-5p,1
JAZF1,hsa-miR-194-3p,0
HTR3E,hsa-miR-194-3p,1
RACGAP1,hsa-miR-194-3p,1
SRRM2,hsa-miR-194-3p,0
JAZF1,hsa-miR-1915-3p,0
LRRC8D,hsa-miR-1915-3p,1
GDF9,hsa-miR-1915-3p,1
SFMBT2,hsa-miR-1915-3p,1
INPP4B,hsa-miR-1915-3p,1
JAZF1,hsa-miR-526b-5p,0
XRCC5,hsa-miR-526b-5p,1
HEPACAM,hsa-miR-526b-5p,0
HOXD12,hsa-miR-526b-5p,1
SC4MOL,hsa-miR-526b-5p,1
GIT1,hsa-miR-526b-5p,1
TMEM175,hsa-miR-526b-5p,1
JAZF1,hsa-miR-10401-3p,0
TWF2,hsa-miR-10401-3p,0
SLC22A3,hsa-miR-10401-3p,1
JAZF1,hsa-miR-1185-1-3p,0
C1ORF127,hsa-miR-1185-1-3p,0
HAUS5,hsa-miR-1185-1-3p,1
JAZF1,hsa-miR-937-3p,0
NCOA6,hsa-miR-937-3p,0
JAZF1,hsa-miR-3662,0
MAPK8,hsa-miR-3662,0
RIPPLY2,hsa-miR-3662,0
TYSND1,hsa-miR-3662,0
C19ORF42,hsa-miR-3662,0
MED15,hsa-miR-3662,0
CCDC117,hsa-miR-3662,1
JAZF1,hsa-miR-5196-3p,0
JAZF1,hsa-miR-6857-5p,0
SF3B2,hsa-miR-6857-5p,0
CHMP2B,hsa-miR-6857-5p,1
JAZF1,hsa-miR-381-3p,0
CD1C,hsa-miR-381-3p,1
NFKBIA,hsa-miR-381-3p,1
TMEM19,hsa-miR-381-3p,1
KAT2B,hsa-miR-523-3p,0
MTA2,hsa-miR-523-3p,0
PRDM14,hsa-miR-523-3p,0
DAK,hsa-miR-523-3p,0
RGS13,hsa-miR-523-3p,0
IPPK,hsa-miR-523-3p,1
C9ORF11,hsa-miR-523-3p,0
COX6B2,hsa-miR-523-3p,1
KAT2B,hsa-miR-5587-5p,0
KAT2B,hsa-miR-5583-3p,0
SLMAP,hsa-miR-5583-3p,1
KAT2B,hsa-miR-3616-5p,0
FOSB,hsa-miR-3616-5p,0
CDKL5,hsa-miR-3616-5p,0
CGB7,hsa-miR-3616-5p,0
KAT2B,hsa-miR-4747-5p,0
LASS4,hsa-miR-4747-5p,0
SLC41A2,hsa-miR-4747-5p,0
TMEM66,hsa-miR-4747-5p,1
KAT2B,hsa-miR-6719-3p,0
MAP3K9,hsa-miR-6719-3p,0
NCOA2,hsa-miR-6719-3p,0
TRIML1,hsa-miR-6719-3p,0
BMP5,hsa-miR-6719-3p,1
FGF9,hsa-miR-6719-3p,1
KAT2B,hsa-miR-770-5p,0
CCDC52,hsa-miR-770-5p,0
RELL1,hsa-miR-770-5p,0
KAT2B,hsa-miR-3162-5p,0
NCRNA00174,hsa-miR-3162-5p,0
MS4A14,hsa-miR-3162-5p,1
HMGB4,hsa-miR-3162-5p,0
TMUB1,hsa-miR-3162-5p,1
FNDC3A,hsa-miR-3162-5p,1
SLAMF6,hsa-miR-3162-5p,1
KAT2B,hsa-miR-4454,0
PEA15,hsa-miR-4454,0
IFIT2,hsa-miR-4454,0
LRRC23,hsa-miR-4454,1
KAT2B,hsa-miR-3156-3p,0
KBTBD2,hsa-miR-3156-3p,1
KAT2B,hsa-miR-7112-5p,0
FAM163B,hsa-miR-7112-5p,1
KAT2B,hsa-miR-4304,0
AGRP,hsa-miR-4304,0
C4ORF31,hsa-miR-4304,1
KAT2B,hsa-miR-130a-5p,0
C17ORF74,hsa-miR-130a-5p,1
LOXL2,hsa-miR-130a-5p,1
MAGEB1,hsa-miR-130a-5p,1
B3GNT1,hsa-miR-130a-5p,1
KIF22,hsa-miR-4720-5p,0
RBM20,hsa-miR-4720-5p,1
KIF22,hsa-miR-6724-5p,0
RASA1,hsa-miR-6724-5p,0
ASH1L,hsa-miR-6724-5p,0
OAZ1,hsa-miR-6724-5p,1
KIF22,hsa-miR-6848-5p,0
ABRA,hsa-miR-6848-5p,0
C1ORF63,hsa-miR-6848-5p,0
CHMP2A,hsa-miR-6848-5p,0
C3ORF75,hsa-miR-6848-5p,1
USF2,hsa-miR-6848-5p,1
KIF22,hsa-miR-3974,0
NR1I2,hsa-miR-3974,0
FASTK,hsa-miR-3974,0
NR3C1,hsa-miR-3974,0
